[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
redox_users                           0.4.6                          rust-crate                      
regex                                 1.11.3                         rust-crate                      
regex-automata                        0.4.11                         rust-crate                      
regex-syntax                          0.8.6                          rust-crate                      
replace_with                          0.1.8                          rust-crate                      
reqwest                               0.12.23                        rust-crate                      
rfc6979                               0.4.0                          rust-crate                      
ring                                  0.17.14                        rust-crate                      
ripemd                                0.1.3                          rust-crate                      
rsa                                   0.9.8                          rust-crate                      
rusqlite                              0.33.0                         rust-crate                      
rustc-demangle                        0.1.26                         rust-crate                      
rustc-hash                            2.1.1                          rust-crate                      
rustc_version                         0.4.1                          rust-crate                      
rustix                                1.1.2                          rust-crate                      
rustls                                0.23.32                        rust-crate                      
rustls-pki-types                      1.12.0                         rust-crate                      
rustls-webpki                         0.103.7                        rust-crate                      
rustversion                           1.0.22                         rust-crate                      
ryu                                   1.0.20                         rust-crate                      
same-file                             1.0.6                          rust-crate                      
schannel                              0.1.28                         rust-crate                      
scopeguard                            1.2.0                          rust-crate                      
sec1                                  0.7.3                          rust-crate                      
security-framework                    2.11.1                         rust-crate                      
security-framework-sys                2.15.0                         rust-crate                      
semver                                1.0.27                         rust-crate                      
serde                                 1.0.228                        rust-crate                      
serde_core                            1.0.228                        rust-crate                      
serde_derive                          1.0.228                        rust-crate                      
serde_json                            1.0.145                        rust-crate                      
serde_urlencoded                      0.7.1                          rust-crate                      
serde_yaml                            0.9.34+deprecated              rust-crate                      
serdect                               0.2.0                          rust-crate                      
serdect                               0.3.0                          rust-crate                      
sha1                                  0.10.6                         rust-crate                      
sha1-checked                          0.10.0                         rust-crate                      
sha2                                  0.10.9                         rust-crate                      
sha3                                  0.10.8                         rust-crate                      
shlex                                 1.3.0                          rust-crate                      
signal-hook-registry                  1.4.6                          rust-crate                      
signature                             2.2.0                          rust-crate                      
simd-adler32                          0.3.7                          rust-crate                      
slab                                  0.4.11                         rust-crate                      
smallvec                              1.15.1                         rust-crate                      
snafu                                 0.8.9                          rust-crate                      
snafu-derive                          0.8.9                          rust-crate                      
socket2                               0.6.0                          rust-crate                      
softprops/action-gh-release           v2                             github-action  (+1 duplicate)   
spin                                  0.9.8                          rust-crate                      
spki                                  0.7.3                          rust-crate                      
stable_deref_trait                    1.2.0                          rust-crate                      
stefanzweifel/git-auto-commit-action  v6                             github-action                   
strsim                                0.11.1                         rust-crate                      
strum                                 0.27.2                         rust-crate                      
strum_macros                          0.27.2                         rust-crate                      
subtle                                2.6.1                          rust-crate                      
syn                                   2.0.106                        rust-crate                      
sync_wrapper                          1.0.2                          rust-crate                      
synstructure                          0.13.2                         rust-crate                      
system-configuration                  0.6.1                          rust-crate                      
system-configuration-sys              0.6.0                          rust-crate                      
tap                                   1.0.1                          rust-crate                      
tar                                   0.4.44                         rust-crate                      
tempfile                              3.23.0                         rust-crate                      
thiserror                             1.0.69                         rust-crate                      
thiserror                             2.0.17                         rust-crate                      
thiserror-impl                        1.0.69                         rust-crate                      
thiserror-impl                        2.0.17                         rust-crate                      
tinystr                               0.8.1                          rust-crate                      
tinyvec                               1.10.0                         rust-crate                      
tinyvec_macros                        0.1.1                          rust-crate                      
tokio                                 1.47.1                         rust-crate                      
tokio-macros                          2.5.0                          rust-crate                      
tokio-native-tls                      0.3.1                          rust-crate                      
tokio-rustls                          0.26.4                         rust-crate                      
tokio-stream                          0.1.17                         rust-crate                      
tokio-tar                             0.3.1                          rust-crate                      
tokio-util                            0.7.16                         rust-crate                      
toml_datetime                         0.7.2                          rust-crate                      
toml_edit                             0.23.6                         rust-crate                      
toml_parser                           1.0.3                          rust-crate                      
tower                                 0.5.2                          rust-crate                      
tower-http                            0.6.6                          rust-crate                      
tower-layer                           0.3.3                          rust-crate                      
tower-service                         0.3.3                          rust-crate                      
tracing                               0.1.41                         rust-crate                      
tracing-core                          0.1.34                         rust-crate                      
try-lock                              0.2.5                          rust-crate                      
twofish                               0.7.1                          rust-crate                      
typenum                               1.19.0                         rust-crate                      
unicode-ident                         1.0.19                         rust-crate                      
unicode-width                         0.2.1                          rust-crate                      
unicode-xid                           0.2.6                          rust-crate                      
universal-hash                        0.5.1                          rust-crate                      
unsafe-libyaml                        0.2.11                         rust-crate                      
untrusted                             0.9.0                          rust-crate                      
url                                   2.5.7                          rust-crate                      
utf8_iter                             1.0.4                          rust-crate                      
utf8parse                             0.2.2                          rust-crate                      
vcpkg                                 0.2.15                         rust-crate                      
version_check                         0.9.5                          rust-crate                      
walkdir                               2.5.0                          rust-crate                      
want                                  0.3.1                          rust-crate                      
wasi                                  0.11.1+wasi-snapshot-preview1  rust-crate                      
wasi                                  0.14.7+wasi-0.2.4              rust-crate                      
wasip2                                1.0.1+wasi-0.2.4               rust-crate                      
wasm-bindgen                          0.2.104                        rust-crate                      
wasm-bindgen-backend                  0.2.104                        rust-crate                      
wasm-bindgen-futures                  0.4.54                         rust-crate                      
wasm-bindgen-macro                    0.2.104                        rust-crate                      
wasm-bindgen-macro-support            0.2.104                        rust-crate                      
wasm-bindgen-shared                   0.2.104                        rust-crate                      
wasm-streams                          0.4.2                          rust-crate                      
web-sys                               0.3.81                         rust-crate                      
web-time                              1.1.0                          rust-crate                      
webpki-roots                          1.0.2                          rust-crate                      
winapi                                0.3.9                          rust-crate                      
winapi-i686-pc-windows-gnu            0.4.0                          rust-crate                      
winapi-util                           0.1.11                         rust-crate                      
winapi-x86_64-pc-windows-gnu          0.4.0                          rust-crate                      
windows-core                          0.62.1                         rust-crate                      
windows-implement                     0.60.1                         rust-crate                      
windows-interface                     0.59.2                         rust-crate                      
windows-link                          0.1.3                          rust-crate                      
windows-link                          0.2.0                          rust-crate                      
windows-registry                      0.5.3                          rust-crate                      
windows-result                        0.3.4                          rust-crate                      
windows-result                        0.4.0                          rust-crate                      
windows-strings                       0.4.2                          rust-crate                      
windows-strings                       0.5.0                          rust-crate                      
windows-sys                           0.52.0                         rust-crate                      
windows-sys                           0.59.0                         rust-crate                      
windows-sys                           0.60.2                         rust-crate                      
windows-sys                           0.61.1                         rust-crate                      
windows-targets                       0.52.6                         rust-crate                      
windows-targets                       0.53.4                         rust-crate                      
windows_aarch64_gnullvm               0.52.6                         rust-crate                      
windows_aarch64_gnullvm               0.53.0                         rust-crate                      
windows_aarch64_msvc                  0.52.6                         rust-crate                      
windows_aarch64_msvc                  0.53.0                         rust-crate                      
windows_i686_gnu                      0.52.6                         rust-crate                      
windows_i686_gnu                      0.53.0                         rust-crate                      
windows_i686_gnullvm                  0.52.6                         rust-crate                      
windows_i686_gnullvm                  0.53.0                         rust-crate                      
windows_i686_msvc                     0.52.6                         rust-crate                      
windows_i686_msvc                     0.53.0                         rust-crate                      
windows_x86_64_gnu                    0.52.6                         rust-crate                      
windows_x86_64_gnu                    0.53.0                         rust-crate                      
windows_x86_64_gnullvm                0.52.6                         rust-crate                      
